www.umu.ac.ug UGANDA

TTL IP              RTT             RTT salto       Outlier o negativo
  1 192.168.0.1           14.717178       14.717178          0
  6 181.96.120.69         37.035980       22.318802          0
  8 181.89.2.125          35.803976       -1.232004          1
  9 190.216.88.33         63.145297       27.341321          0
 10 67.17.99.233         165.618939      102.473642          1
 13 154.54.10.57         157.799638       -7.819301          1
 14 154.54.47.229        194.609702       36.810064          1
 15 154.54.24.145        205.385995       10.776293          0
 16 154.54.7.157         223.330799       17.944805          0
 17 154.54.40.105        243.887467       20.556668          0
 18 154.54.30.186        308.988776       65.101309          1
 19 154.54.61.158        303.100163       -5.888614          1
 20 149.14.80.210        325.824847       22.724685          0
 21 196.32.210.81        496.067114      170.242267          1
 22 196.32.210.21        499.957722        3.890608          0
 23 196.32.209.142       489.731103      -10.226619          1
 24 196.43.190.173       488.125042       -1.606061          1
 25 196.43.190.245       493.198132        5.073089          0
 26 196.43.190.226       492.400727       -0.797404          1
 27 137.63.184.46        491.282735       -1.117992          1

Cantidad de saltos RTT positivos: 13

Cantidad de outliers: 4
